#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
      76       76       18       76     1.164851  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      77       77       18       77     1.177182  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      78       78       18       78     1.188491  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      79       79       18       79     1.196229  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      80       80       18       80     1.210569  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      81       81       18       81     1.221744  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      82       82       18       82     1.231331  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      83       83       18       83     1.244943  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      84       84       18       84     1.251680  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      85       85       18       85     1.257589  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      86       86       18       86     1.259356  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      87       87       18       87     1.275273  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      88       88       18       88     1.282178  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      89       89       18       89     1.286248  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      90       90       18       90     1.297543  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      91       91       18       91     1.299812  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      92       92       18       92     1.300128  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      93       93       18       93     1.312671  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      94       94       18       94     1.329191  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      95       95       18       95     1.349060  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      96       96       18       96     1.352485  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      97       97       18       97     1.374670  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      98       98       18       98     1.377860  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
      99       99       18       99     1.394723  0.3588  0.2071  0.0516  0.4737 -0.0000 -0.0000      1
